Date,Predicted_Close_Inv
2023-11-08,153.34203
2023-11-09,152.9768
2023-11-10,152.10344
2023-11-13,151.41167
2023-11-14,150.75511
2023-11-15,150.84877
2023-11-16,151.72455
2023-11-17,152.27032
2023-11-20,152.65997
2023-11-21,153.17702
2023-11-22,153.70102
2023-11-24,154.37108
2023-11-27,154.74867
2023-11-28,155.18571
2023-11-29,155.56026
2023-11-30,156.42441
2023-12-01,157.40909
2023-12-04,158.42854
2023-12-05,159.26349
2023-12-06,159.56956
2023-12-07,159.30637
2023-12-08,158.80176
2023-12-11,158.43045
2023-12-12,157.96257
2023-12-13,157.90414
2023-12-14,158.18942
2023-12-15,158.11986
2023-12-18,157.8685
2023-12-19,157.76414
2023-12-20,156.75116
2023-12-21,156.02057
2023-12-22,155.88472
2023-12-26,156.29968
2023-12-27,157.21448
2023-12-28,158.3126
2023-12-29,159.01355
2024-01-02,159.97821
2024-01-03,160.7004
2024-01-04,161.41574
2024-01-05,161.94081
2024-01-08,162.21089
2024-01-09,162.65623
2024-01-10,162.82762
2024-01-11,162.94492
2024-01-12,163.18158
2024-01-16,162.91777
2024-01-17,162.39989
2024-01-18,162.20523
2024-01-19,162.1941
2024-01-22,162.4567
2024-01-23,161.22685
2024-01-24,159.84978
2024-01-25,158.7408
2024-01-26,157.97302
2024-01-29,157.66061
2024-01-30,157.33247
2024-01-31,157.15106
2024-02-01,157.02333
2024-02-02,156.566
2024-02-05,156.32478
2024-02-06,156.75401
2024-02-07,157.1562
2024-02-08,157.06377
2024-02-09,156.8603
2024-02-12,157.1978
2024-02-13,157.00587
2024-02-14,156.36674
2024-02-15,156.79565
2024-02-16,156.65927
2024-02-20,157.27103
2024-02-21,158.07678
2024-02-22,159.18944
2024-02-23,160.04422
2024-02-26,160.4584
2024-02-27,160.64268
2024-02-28,160.61931
2024-02-29,160.74278
2024-03-01,160.95988
2024-03-04,160.59642
2024-03-05,160.33345
2024-03-06,159.83356
2024-03-07,159.17824
2024-03-08,158.68367
2024-03-11,158.89249
2024-03-12,159.704
2024-03-13,159.87878
2024-03-14,159.05759
2024-03-15,157.82138
2024-03-18,156.7497
2024-03-19,155.81802
2024-03-20,155.14555
2024-03-21,154.84186
2024-03-22,154.60742
2024-03-25,154.34175
2024-03-26,154.36823
2024-03-27,154.98872
2024-03-28,156.02808
2024-04-01,156.77583
2024-04-02,157.11868
2024-04-03,156.44
2024-04-04,155.09814
2024-04-05,153.89333
2024-04-08,152.89818
2024-04-09,152.45557
2024-04-10,152.02522
2024-04-11,151.25188
2024-04-12,150.11406
2024-04-15,149.33507
2024-04-16,148.26404
2024-04-17,147.42755
2024-04-18,146.63918
2024-04-19,146.52647
2024-04-22,147.40427
2024-04-23,148.57465
2024-04-24,149.63618
2024-04-25,149.81837
2024-04-26,149.53542
2024-04-29,149.24785
2024-04-30,148.3271
2024-05-01,149.34605
2024-05-02,150.68855
2024-05-03,151.62566
2024-05-06,152.03992
2024-05-07,152.21033
2024-05-08,151.77567
2024-05-09,151.73698
2024-05-10,151.7406
2024-05-13,152.41216
2024-05-14,153.1209
2024-05-15,153.94226
2024-05-16,154.71515
2024-05-17,155.40271
2024-05-20,155.20917
2024-05-21,154.65657
2024-05-22,154.62918
2024-05-23,153.83151
2024-05-24,152.62907
2024-05-28,151.27252
2024-05-29,150.04726
2024-05-30,149.13435
2024-05-31,149.16815
2024-06-03,149.85007
2024-06-04,150.4825
2024-06-05,150.56824
2024-06-06,150.2799
2024-06-07,149.89577
2024-06-10,149.62737
2024-06-11,149.4531
2024-06-12,149.49797
2024-06-13,149.7534
2024-06-14,149.892
2024-06-17,150.26295
2024-06-18,150.1485
2024-06-20,151.13547
2024-06-21,152.23592
2024-06-24,153.18341
2024-06-25,152.82666
2024-06-26,152.36633
2024-06-27,151.11943
2024-06-28,150.15674
2024-07-01,149.67775
2024-07-02,149.46605
2024-07-03,149.2263
2024-07-05,149.37134
2024-07-08,149.06676
2024-07-09,149.41202
2024-07-10,150.7281
2024-07-11,152.19194
2024-07-12,153.3671
2024-07-15,154.12413
2024-07-16,154.66205
2024-07-17,155.38791
2024-07-18,156.09836
2024-07-19,156.72108
2024-07-22,157.38126
2024-07-23,157.59195
2024-07-24,158.11314
2024-07-25,158.79344
2024-07-26,159.69124
2024-07-29,160.21434
2024-07-30,160.84045
2024-07-31,160.6972
2024-08-01,160.76942
2024-08-02,161.00821
2024-08-05,161.27425
2024-08-06,161.10393
2024-08-07,160.96736
2024-08-08,160.96327
2024-08-09,160.97565
2024-08-12,160.94057
2024-08-13,160.36638
2024-08-14,159.48186
2024-08-15,158.73175
2024-08-16,158.3165
2024-08-19,158.32271
2024-08-20,158.84334
2024-08-21,159.6308
2024-08-22,160.60866
2024-08-23,161.52715
2024-08-26,162.51651
2024-08-27,162.72275
2024-08-28,162.92825
2024-08-29,162.9014
2024-08-30,163.21426
2024-09-03,163.86877
2024-09-04,164.70633
2024-09-05,164.99985
2024-09-06,165.06422
2024-09-09,165.36026
2024-09-10,165.59192
2024-09-11,165.18706
2024-09-12,164.68817
2024-09-13,164.45045
2024-09-16,164.73866
2024-09-17,165.22624
2024-09-18,165.4459
2024-09-19,165.00601
2024-09-20,164.17711
2024-09-23,163.43373
2024-09-24,162.90927
2024-09-25,162.29393
2024-09-26,162.0593
2024-09-27,161.7418
2024-09-30,161.57838
2024-10-01,161.35474
2024-10-02,161.19249
2024-10-03,160.62071
